id_legislatura,id_diputado,nombre,fecha,page,pdffile
10,87,"Abad Pérez,Juan Antonio",20120118,1,data/pdf/10_87_20120118-page1.pdf
10,87,"Abad Pérez,Juan Antonio",20120118,2,data/pdf/10_87_20120118-page2.pdf
10,87,"Abad Pérez,Juan Antonio",20120118,3,data/pdf/10_87_20120118-page3.pdf
10,87,"Abad Pérez,Juan Antonio",20120118,4,data/pdf/10_87_20120118-page4.pdf
10,87,"Abad Pérez,Juan Antonio",20120118,5,data/pdf/10_87_20120118-page5.pdf
10,268,"Ábalos Meco,José Luis",20111205,1,data/pdf/10_268_20111205-page1.pdf
10,268,"Ábalos Meco,José Luis",20111205,2,data/pdf/10_268_20111205-page2.pdf
10,268,"Ábalos Meco,José Luis",20111205,3,data/pdf/10_268_20111205-page3.pdf
10,268,"Ábalos Meco,José Luis",20111205,4,data/pdf/10_268_20111205-page4.pdf
10,268,"Ábalos Meco,José Luis",20111205,5,data/pdf/10_268_20111205-page5.pdf
10,380,"Agirretxea Urresti,Joseba Andoni",20130130,1,data/pdf/10_380_20130130-page1.pdf
10,380,"Agirretxea Urresti,Joseba Andoni",20130130,2,data/pdf/10_380_20130130-page2.pdf
10,380,"Agirretxea Urresti,Joseba Andoni",20130130,3,data/pdf/10_380_20130130-page3.pdf
10,380,"Agirretxea Urresti,Joseba Andoni",20130130,4,data/pdf/10_380_20130130-page4.pdf
10,380,"Agirretxea Urresti,Joseba Andoni",20130130,5,data/pdf/10_380_20130130-page5.pdf
10,171,"Aguiar Rodríguez,Ernesto",20111212,1,data/pdf/10_171_20111212-page1.pdf
10,171,"Aguiar Rodríguez,Ernesto",20111212,2,data/pdf/10_171_20111212-page2.pdf
10,171,"Aguiar Rodríguez,Ernesto",20111212,3,data/pdf/10_171_20111212-page3.pdf
10,171,"Aguiar Rodríguez,Ernesto",20111212,4,data/pdf/10_171_20111212-page4.pdf
10,171,"Aguiar Rodríguez,Ernesto",20111212,5,data/pdf/10_171_20111212-page5.pdf
10,145,"Aguilar Rivero,Rosa",20111223,1,data/pdf/10_145_20111223-page1.pdf
10,145,"Aguilar Rivero,Rosa",20111223,2,data/pdf/10_145_20111223-page2.pdf
10,145,"Aguilar Rivero,Rosa",20111223,3,data/pdf/10_145_20111223-page3.pdf
10,145,"Aguilar Rivero,Rosa",20111223,4,data/pdf/10_145_20111223-page4.pdf
10,145,"Aguilar Rivero,Rosa",20111223,5,data/pdf/10_145_20111223-page5.pdf
10,145,"Aguilar Rivero,Rosa",20120523,1,data/pdf/10_145_20120523-page1.pdf
10,145,"Aguilar Rivero,Rosa",20120523,2,data/pdf/10_145_20120523-page2.pdf
10,145,"Aguilar Rivero,Rosa",20120523,3,data/pdf/10_145_20120523-page3.pdf
10,145,"Aguilar Rivero,Rosa",20120523,4,data/pdf/10_145_20120523-page4.pdf
10,145,"Aguilar Rivero,Rosa",20120523,5,data/pdf/10_145_20120523-page5.pdf
10,12,"Albendea Pabón,Juan Manuel",20111220,1,data/pdf/10_12_20111220-page1.pdf
10,12,"Albendea Pabón,Juan Manuel",20111220,2,data/pdf/10_12_20111220-page2.pdf
10,12,"Albendea Pabón,Juan Manuel",20111220,3,data/pdf/10_12_20111220-page3.pdf
10,12,"Albendea Pabón,Juan Manuel",20111220,4,data/pdf/10_12_20111220-page4.pdf
10,12,"Albendea Pabón,Juan Manuel",20111220,5,data/pdf/10_12_20111220-page5.pdf
10,173,"Alberto Pérez,Celia",20111230,1,data/pdf/10_173_20111230-page1.pdf
10,173,"Alberto Pérez,Celia",20111230,2,data/pdf/10_173_20111230-page2.pdf
10,173,"Alberto Pérez,Celia",20111230,3,data/pdf/10_173_20111230-page3.pdf
10,173,"Alberto Pérez,Celia",20111230,4,data/pdf/10_173_20111230-page4.pdf
10,173,"Alberto Pérez,Celia",20111230,5,data/pdf/10_173_20111230-page5.pdf
10,242,"Alegría Continente,María Pilar",20111202,1,data/pdf/10_242_20111202-page1.pdf
10,242,"Alegría Continente,María Pilar",20111202,2,data/pdf/10_242_20111202-page2.pdf
10,242,"Alegría Continente,María Pilar",20111202,3,data/pdf/10_242_20111202-page3.pdf
10,242,"Alegría Continente,María Pilar",20111202,4,data/pdf/10_242_20111202-page4.pdf
10,242,"Alegría Continente,María Pilar",20111202,5,data/pdf/10_242_20111202-page5.pdf
10,242,"Alegría Continente,María Pilar",20121129,1,data/pdf/10_242_20121129-page1.pdf
